date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:24:54	105/105	---M-Z	200	added ('OK')	text/plain	date:Tue,%2023%20Jul%202024%2010:33:46%20GMT	https://kraet.io/robots.txt		(from )
23:24:56	437137/437137	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jul%202024%2010:33:46%20GMT	https://kraet.io/	C:/Users/pc/OneDrive/Documents/Kraet.com/kraet.io/index.html	(from )
23:24:57	11256/11256	---M-Z	200	added ('OK')	text/css	etag:%22c0123b-2bf8-5b075c75d5c80-gzip%22	https://kraet.io/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	C:/Users/pc/OneDrive/Documents/Kraet.com/kraet.io/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from https://kraet.io/)
23:24:57	4186/4186	---M-Z	200	added ('OK')	text/css	etag:%22c01242-105a-58ac1e7924f80-gzip%22	https://kraet.io/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.6	C:/Users/pc/OneDrive/Documents/Kraet.com/kraet.io/wp-includes/js/mediaelement/wp-mediaelement.min9122.css	(from https://kraet.io/)
23:24:58	180749/180749	---M-Z	200	added ('OK')	text/css	etag:%2210c01ca-2c20d-614c50da263ef-gzip%22	https://kraet.io/wp-content/plugins/bold-timeline-lite/style.css?ver=6.6	C:/Users/pc/OneDrive/Documents/Kraet.com/kraet.io/wp-content/plugins/bold-timeline-lite/style9122.css	(from https://kraet.io/)
23:24:58	1184/1184	---M-Z	200	added ('OK')	application/rss+xml	etag:%2262a0db65e99739f48544e03accc4497a-gzip%22	https://kraet.io/feed/	C:/Users/pc/OneDrive/Documents/Kraet.com/kraet.io/feed/index.html	(from https://kraet.io/)
23:24:58	830/830	---M-Z	200	added ('OK')	application/rss+xml	etag:%2262a0db65e99739f48544e03accc4497a-gzip%22	https://kraet.io/comments/feed/	C:/Users/pc/OneDrive/Documents/Kraet.com/kraet.io/comments/feed/index.html	(from https://kraet.io/)
23:24:59	10045/10045	---M-Z	200	added ('OK')	text/css	etag:%22c81744-273d-61818bc2ad15c-gzip%22	https://kraet.io/wp-content/plugins/graphina-elementor-charts-and-graphs/elementor/css/graphina-charts-for-elementor-public.css?ver=1.8.10	C:/Users/pc/OneDrive/Documents/Kraet.com/kraet.io/wp-content/plugins/graphina-elementor-charts-and-graphs/elementor/css/graphina-charts-for-elementor-public7a3d.css	(from https://kraet.io/)
23:25:00	2556/2556	---M-Z	200	added ('OK')	text/css	etag:%22c815b5-9fc-61818bc2acd74-gzip%22	https://kraet.io/wp-content/plugins/graphina-elementor-charts-and-graphs/elementor/css/graphina-charts-for-elementor-pro.css?ver=1.8.10	C:/Users/pc/OneDrive/Documents/Kraet.com/kraet.io/wp-content/plugins/graphina-elementor-charts-and-graphs/elementor/css/graphina-charts-for-elementor-pro7a3d.css	(from https://kraet.io/)
23:25:00	5501/5501	---M-Z	200	added ('OK')	text/css	etag:%22b23d34-157d-61b50b6c55814-gzip%22	https://kraet.io/wp-content/themes/hello-elementor/style.min.css?ver=3.1.0	C:/Users/pc/OneDrive/Documents/Kraet.com/kraet.io/wp-content/themes/hello-elementor/style.min324d.css	(from https://kraet.io/)
